,training_data,test_data
Mean Absolute Error,2336.005500983189,2289.507286187532
Mean Squared Error,17390134.48868943,15103931.626564026
Root Mean Squared Error,4170.148017599547,3886.3776999365396
R2_score,0.8821357738928925,0.8942745502289501
Explained_variance_score,0.8821357738928925,0.8945348204946095
